protocol,n,depth,mode,workers,batch_size,level,states,elapsed_sec,timestamp
ANY,3,10,serial,,,0,1,0.0,2025-08-22T19:11:38
ANY,3,10,serial,,,1,1,0.0,2025-08-22T19:11:38
ANY,3,10,serial,,,2,1,0.0,2025-08-22T19:11:38
ANY,3,10,serial,,,3,1,0.0,2025-08-22T19:11:38
CO,3,10,serial,,,0,1,0.0,2025-08-22T19:11:38
CO,3,10,serial,,,1,1,0.0,2025-08-22T19:11:38
CO,3,10,serial,,,2,1,0.0,2025-08-22T19:11:38
CO,3,10,serial,,,3,1,0.0,2025-08-22T19:11:38
LNS,3,10,serial,,,0,1,0.0,2025-08-22T19:11:38
LNS,3,10,serial,,,1,1,0.0,2025-08-22T19:11:38
LNS,3,10,serial,,,2,1,0.0,2025-08-22T19:11:38
LNS,3,10,serial,,,3,1,0.0,2025-08-22T19:11:38
TOK,3,10,serial,,,0,1,0.0,2025-08-22T19:11:38
TOK,3,10,serial,,,1,1,0.0,2025-08-22T19:11:38
TOK,3,10,serial,,,2,1,0.0,2025-08-22T19:11:38
TOK,3,10,serial,,,3,1,0.0,2025-08-22T19:11:38
SPI,3,10,serial,,,0,1,0.0,2025-08-22T19:11:38
SPI,3,10,serial,,,1,1,0.0,2025-08-22T19:11:38
SPI,3,10,serial,,,2,1,0.0,2025-08-22T19:11:38
SPI,3,10,serial,,,3,1,0.0,2025-08-22T19:11:38
ANY,4,10,serial,,,0,1,0.001,2025-08-22T19:11:38
ANY,4,10,serial,,,1,1,0.001,2025-08-22T19:11:38
ANY,4,10,serial,,,2,2,0.001,2025-08-22T19:11:38
ANY,4,10,serial,,,3,4,0.001,2025-08-22T19:11:38
ANY,4,10,serial,,,4,6,0.001,2025-08-22T19:11:38
ANY,4,10,serial,,,5,1,0.001,2025-08-22T19:11:38
CO,4,10,serial,,,0,1,0.001,2025-08-22T19:11:38
CO,4,10,serial,,,1,1,0.001,2025-08-22T19:11:38
CO,4,10,serial,,,2,2,0.001,2025-08-22T19:11:38
CO,4,10,serial,,,3,4,0.001,2025-08-22T19:11:38
CO,4,10,serial,,,4,6,0.001,2025-08-22T19:11:38
CO,4,10,serial,,,5,1,0.001,2025-08-22T19:11:38
LNS,4,10,serial,,,0,1,0.001,2025-08-22T19:11:38
LNS,4,10,serial,,,1,1,0.001,2025-08-22T19:11:38
LNS,4,10,serial,,,2,2,0.001,2025-08-22T19:11:38
LNS,4,10,serial,,,3,4,0.001,2025-08-22T19:11:38
LNS,4,10,serial,,,4,6,0.001,2025-08-22T19:11:38
LNS,4,10,serial,,,5,1,0.001,2025-08-22T19:11:38
TOK,4,10,serial,,,0,1,0.001,2025-08-22T19:11:38
TOK,4,10,serial,,,1,1,0.001,2025-08-22T19:11:38
TOK,4,10,serial,,,2,2,0.001,2025-08-22T19:11:38
TOK,4,10,serial,,,3,4,0.001,2025-08-22T19:11:38
TOK,4,10,serial,,,4,6,0.001,2025-08-22T19:11:38
TOK,4,10,serial,,,5,1,0.001,2025-08-22T19:11:38
SPI,4,10,serial,,,0,1,0.001,2025-08-22T19:11:38
SPI,4,10,serial,,,1,1,0.001,2025-08-22T19:11:38
SPI,4,10,serial,,,2,2,0.001,2025-08-22T19:11:38
SPI,4,10,serial,,,3,4,0.001,2025-08-22T19:11:38
SPI,4,10,serial,,,4,5,0.001,2025-08-22T19:11:38
SPI,4,10,serial,,,5,2,0.001,2025-08-22T19:11:38
ANY,7,12,serial,,,0,1,11.306,2025-08-22T19:11:49
ANY,7,12,serial,,,1,1,11.306,2025-08-22T19:11:49
ANY,7,12,serial,,,10,5703,11.306,2025-08-22T19:11:49
ANY,7,12,serial,,,11,2564,11.306,2025-08-22T19:11:49
ANY,7,12,serial,,,12,450,11.306,2025-08-22T19:11:49
ANY,7,12,serial,,,2,2,11.306,2025-08-22T19:11:49
ANY,7,12,serial,,,3,6,11.306,2025-08-22T19:11:49
ANY,7,12,serial,,,4,19,11.306,2025-08-22T19:11:49
ANY,7,12,serial,,,5,73,11.306,2025-08-22T19:11:49
ANY,7,12,serial,,,6,290,11.306,2025-08-22T19:11:49
ANY,7,12,serial,,,7,1073,11.306,2025-08-22T19:11:49
ANY,7,12,serial,,,8,3135,11.306,2025-08-22T19:11:49
ANY,7,12,serial,,,9,5829,11.306,2025-08-22T19:11:49
ANY,7,12,parallel,6.0,4096.0,0,1,11.436,2025-08-22T19:12:01
ANY,7,12,parallel,6.0,4096.0,1,1,11.436,2025-08-22T19:12:01
ANY,7,12,parallel,6.0,4096.0,10,6281,11.436,2025-08-22T19:12:01
ANY,7,12,parallel,6.0,4096.0,11,3115,11.436,2025-08-22T19:12:01
ANY,7,12,parallel,6.0,4096.0,12,699,11.436,2025-08-22T19:12:01
ANY,7,12,parallel,6.0,4096.0,2,2,11.436,2025-08-22T19:12:01
ANY,7,12,parallel,6.0,4096.0,3,6,11.436,2025-08-22T19:12:01
ANY,7,12,parallel,6.0,4096.0,4,19,11.436,2025-08-22T19:12:01
ANY,7,12,parallel,6.0,4096.0,5,75,11.436,2025-08-22T19:12:01
ANY,7,12,parallel,6.0,4096.0,6,304,11.436,2025-08-22T19:12:01
ANY,7,12,parallel,6.0,4096.0,7,1156,11.436,2025-08-22T19:12:01
ANY,7,12,parallel,6.0,4096.0,8,3478,11.436,2025-08-22T19:12:01
ANY,7,12,parallel,6.0,4096.0,9,6498,11.436,2025-08-22T19:12:01
CO,6,4,parallel,4.0,512.0,0,1,0.13,2025-08-22T19:12:01
CO,6,4,parallel,4.0,512.0,1,1,0.13,2025-08-22T19:12:01
CO,6,4,parallel,4.0,512.0,2,2,0.13,2025-08-22T19:12:01
CO,6,4,parallel,4.0,512.0,3,6,0.13,2025-08-22T19:12:01
CO,6,4,parallel,4.0,512.0,4,18,0.13,2025-08-22T19:12:01
