protocol,n,depth,mode,workers,batch_size,reachable_count,transitions,elapsed_sec,timestamp
ANY,3,10,serial,,,4,6,0.0,2025-08-22T19:11:38
CO,3,10,serial,,,4,3,0.0,2025-08-22T19:11:38
LNS,3,10,serial,,,4,3,0.0,2025-08-22T19:11:38
TOK,3,10,serial,,,4,6,0.0,2025-08-22T19:11:38
SPI,3,10,serial,,,4,6,0.0,2025-08-22T19:11:38
ANY,4,10,serial,,,15,37,0.001,2025-08-22T19:11:38
CO,4,10,serial,,,15,23,0.001,2025-08-22T19:11:38
LNS,4,10,serial,,,15,22,0.001,2025-08-22T19:11:38
TOK,4,10,serial,,,15,36,0.001,2025-08-22T19:11:38
SPI,4,10,serial,,,15,35,0.001,2025-08-22T19:11:38
ANY,7,12,serial,,,19146,161804,11.306,2025-08-22T19:11:49
ANY,7,12,parallel,6,4096,21635,51613,11.436,2025-08-22T19:12:01
CO,6,4,parallel,4,512,28,36,0.13,2025-08-22T19:12:01
